Hindi,Telugu,Telugu(Devnagari),Telugu(WX),Tamil
क्या अब आपने वहाँ नौकरी छोड़ दी,మీరు ఉద్యోగం అక్కడ వదిలి ఇక ఏం,मीरु उद्योगं अक्कड वदिलि इक एं,mIru uxyogaM akkada vaxili ika eM,
क्या आप आरम करना चाहते हैं,మీకు సులువు అనుకుంటున్నారు,मीकु सुलुवु अनुकुंटुन्नारु,mIku suluvu anukuMtunnAru,
क्या आप हमारे साथ बैठेंगे,మీరు మాతో కూర్చుని లేదు,मीरु मातो कूर्चुनि लेदु,mIru mAwo kUrcuni lexu,
क्या आप नमुने लायें है,మీరు నమూనాలను తీసుకుని,मीरु नमूनालनु तीसुकुनि,mIru namUnAlanu wIsukuni,
क्या आप उसे पहचानते हैं,మీరు అతన్ని గుర్తుపట్టారా,मीरु अतन्नि गुर्तुपट्टारा,mIru awanni gurwupattArA,
क्या आप यह काम कर सकती है,మీరు అది పని చేయడానికి చేయవచ్చు,मीरु अदि पनि चेयडानिकि चेयवच्चु,mIru axi pani ceyadAniki ceyavaccu,
क्या हम कल इस समय मैच खेल रहे होंगे,మేము రేపు ఈ మ్యాచ్లో పోషించనున్నారని,मेमु रेपु ई म्याच्लो पोषिंचनुन्नारनि,memu repu I myAclo poRiMcanunnArani,
क्या कल तुम बाज़ार गये थे,రేపు మీరు మార్కెట్లో అమ్మకాలు,रेपु मीरु मार्कॆट्लो अम्मकालु,repu mIru mArkeVtlo ammakAlu,
क्या कोइ परेशानी है,ఏ సమస్య,ए समस्य,e samasya,
क्या मैं अब केक काट सकता हूँ,నేను ఇప్పుడు కేక్ కట్ చేయవచ్చు,नेनु इप्पुडु केक् कट् चेयवच्चु,nenu ippudu kek kat ceyavaccu,
क्या मैं आप के साथ नाच सकता हूं,నేను మీతో నాట్యం,नेनु मीतो नाट्यं,nenu mIwo nAtyaM,
क्या मैं बाल सभा में सम्मिलित हो सकता हुं,హన్ నేను పిల్లల గృహము చేరవచ్చు,हन् नेनु पिल्लल गृहमु चेरवच्चु,han nenu pillala gqhamu ceravaccu,
क्या मैं तुम्हारा फ़ोन इस्तेमाल कर सकता हूं,నేను మీ ఫోన్ ఉపయోగించవచ్చు,नेनु मी फोन् उपयोगिंचवच्चु,nenu mI Pon upayogiMcavaccu,
क्या मैं यहाँ बैठ सकता हूँ,నేను ఇక్కడ కూర్చుని చేయవచ్చు,नेनु इक्कड कूर्चुनि चेयवच्चु,nenu ikkada kUrcuni ceyavaccu,
क्या रीता फ़िल्म देख रही है,ఏం రీటా చిత్రం చూడరు,एं रीटा चित्रं चूडरु,eM rItA ciwraM cUdaru,
क्या सोहन भूखा था,ఏం సోపన్ ఆకలితో,एं सोपन् आकलितो,eM sopan Akaliwo,
क्या वह अपनी माता के साथ दिल्ली जाती है,ఏం అతను తన తల్లితో కలిసి ఢిల్లీలో ఉంది,एं अतनु तन तल्लितो कलिसि ढिल्लीलो उंदि,eM awanu wana walliwo kalisi DillIlo uMxi,
क्या वह जा चुकी होगी,ఆమె ఉండేది,आमॆ उंडेदि,AmeV uMdexi,
क्या वह तुम्हें एक कलम देता है,అతను మీరు ఒక పెన్ ఇస్తుంది ఏమిటి,अतनु मीरु ऒक पॆन् इस्तुंदि एमिटि,awanu mIru oVka peVn iswuMxi emiti,
क्या तेरा भाई कनाडा से आ चुका होगा,మీ సోదరుడు గురించి ఏమి కెనడా నుంచి తిరిగి ఉంటుంది,मी सोदरुडु गुरिंचि एमि कॆनडा नुंचि तिरिगि उंटुंदि,mI soxarudu guriMci emi keVnadA nuMci wirigi uMtuMxi,
क्या तुम अखबार पढ़ रही थी,ఏం మీరు వార్తాపత్రిక చదవడం,एं मीरु वार्तापत्रिक चदवडं,eM mIru vArwApawrika caxavadaM,
क्या तुम अंग्रेजी पढते हो,మీరు ఇంగ్లీష్ చదివే,मीरु इंग्लीष् चदिवे,mIru iMglIR caxive,
क्या तुम बीमार हो,మీరు జబ్బుపడిన,मीरु जब्बुपडिन,mIru jabbupadina,
क्या तुम मेरे लिए पानी ला सकते हो,మీరు నాకు కొన్ని నీటి తీసుకుని చేయవచ్చు,मीरु नाकु कॊन्नि नीटि तीसुकुनि चेयवच्चु,mIru nAku koVnni nIti wIsukuni ceyavaccu,
क्या तुम मुम्बई में रहते हो,మీరు ముంబై లో నివసిస్తున్నారా,मीरु मुंबॆॖ लो निवसिस्तुन्नारा,mIru muMbeV lo nivasiswunnArA,
क्या तुमने अपना काम कर लिया,మీరు మీ పని పూర్తి తెలుసా,मीरु मी पनि पूर्ति तॆलुसा,mIru mI pani pUrwi weVlusA,
क्या तुमने कल अपना पाठ याद किया,మీరు రేపు మీ కథలు వినడం,मीरु रेपु मी कथलु विनडं,mIru repu mI kaWalu vinadaM,
क्या तुमने यहाँ ठंडा पेय लिया था,మీరు ఇక్కడ చల్లని పానీయాలు కలిగి,मीरु इक्कड चल्लनि पानीयालु कलिगि,mIru ikkada callani pAnIyAlu kaligi,
क्या तुम पिछले दो घंटे से पढ़ रहे थे,మీరు గత రెండు గంటల చదివి తెలుసా,मीरु गत रॆंडु गंटल चदिवि तॆलुसा,mIru gawa reVMdu gaMtala caxivi weVlusA,
क्या तुम रात को यहा ठहरोगे,ఏం మీరు రాత్రి ఇక్కడ ఉంటుంది,एं मीरु रात्रि इक्कड उंटुंदि,eM mIru rAwri ikkada uMtuMxi,
क्या तुम शादी के बाद काम करना चाहती हो,మీరు వివాహం తర్వాత పని అనుకుంటున్నారా,मीरु विवाहं तर्वात पनि अनुकुंटुन्नारा,mIru vivAhaM warvAwa pani anukuMtunnArA,
क्या तुम सिनेमा गए थे,మీరు సినిమాలు చేశాడు,मीरु सिनिमालु चेशाडु,mIru sinimAlu ceSAdu,
क्या तुम सितर बजा सकती हो,మీరు Sitr ప్లే చేయవచ్చు,मीरु Sitr प्ले चेयवच्चु,mIru Sitr ple ceyavaccu,
क्या तुम सो रहे हो,మీరు నిద్ర,मीरु निद्र,mIru nixra,
क्या तुम विद्यालय जा रहे हो,మీరు పాఠశాలకు వెళ్తున్నారు,मीरु पाठशालकु वॆळ्तुन्नारु,mIru pATaSAlaku veVlYwunnAru,
क्या तुम्हारे पिताजी सरकारी नौकरी करते हैं,మీ తండ్రి ప్రభుత్వ ఉద్యోగాలు దీన్ని ఏ,मी तंड्रि प्रभुत्व उद्योगालु दीन्नि ए,mI waMdri praBuwva uxyogAlu xInni e,
क्या तुम्हारी माँ तुमसे प्रेम करती है,మీ తల్లి ప్రేమ లేదు మీరు,मी तल्लि प्रेम लेदु मीरु,mI walli prema lexu mIru,
क्या तुम्हें चावल पसंद है,మీరు బియ్యం ఇష్టపడతారు,मीरु बिय्यं इष्टपडतारु,mIru biyyaM iRtapadawAru,
लडZकी गुडिया बना रही है,Z వరకు బొమ్మ తయారీ ఫైట్,Z वरकु बॊम्म तयारी फॆॖट्,Z varaku boVmma wayArI PeVt,
लड़का स्कूल से अनुपस्थित था,బాలుడు పాఠశాలకు హాజరు కాలేదనే విషయం,बालुडु पाठशालकु हाजरु कालेदने विषयं,bAludu pATaSAlaku hAjaru kAlexane viRayaM,
मकान कब देखना चाहते हैं,ఇళ్ళు ఎలా చూడాలనుకుంటే,इळ्ळु ऎला चूडालनुकुंटे,ilYlYu eVlA cUdAlanukuMte,
माली फूल चुन रहा है,తోటలలో పుష్పాలు ఎంచుకోండి,तोटललो पुष्पालु ऎंचुकोंडि,wotalalo puRpAlu eVMcukoMdi,
मार्किट् में कौन जाएगा,ఎవరు Markit ఉంటుంది,ऎवरु Markit उंटुंदि,eVvaru Markit uMtuMxi,
माँ चावल पका रही है,తల్లి అన్నం వండుతారు,तल्लि अन्नं वंडुतारु,walli annaM vaMduwAru,
मैं आज क्रिकेट मैच देखना चाहता हूँ,నేను ఈ రోజు ఒక క్రికెట్ మ్యాచ్ చూడాలనుకునే,नेनु ई रोजु ऒक क्रिकॆट् म्याच् चूडालनुकुने,nenu I roju oVka krikeVt myAc cUdAlanukune,
मैं जाऊंगा,నేను రెడీ,नेनु रॆडी,nenu reVdI,
मैं कानपुर में रहता हूँ,నేను కాన్పూర్ లో నివసిస్తున్నారు,नेनु कान्पूर् लो निवसिस्तुन्नारु,nenu kAnpUr lo nivasiswunnAru,
मैं नहीं जा सकता,నేను ఉండకూడదు,नेनु उंडकूडदु,nenu uMdakUdaxu,
मैंने रंगीन टेलीविज़न खरीदा है,నేను ఒక కలర్ టెలివిజన్ కొనుగోలు,नेनु ऒक कलर् टॆलिविजन् कॊनुगोलु,nenu oVka kalar teVlivijan koVnugolu,
मैंने दो शेर देखा,నేను రెండు సింహాలు చూసింది,नेनु रॆंडु सिंहालु चूसिंदि,nenu reVMdu siMhAlu cUsiMxi,
मैंने यह मेज आज बनाई है,నేను పట్టిక నేటి రూపొందించినవారు ఉంటుంది,नेनु पट्टिक नेटि रूपॊंदिंचिनवारु उंटुंदि,nenu pattika neti rUpoVMxiMcinavAru uMtuMxi,
मैं परचेज़ मैनेजर से मिलना चाहता हूँ,నేను కొనుగోలు మేనేజర్ కలుసుకోవాలనుకోవడం,नेनु कॊनुगोलु मेनेजर् कलुसुकोवालनुकोवडं,nenu koVnugolu menejar kalusukovAlanukovadaM,
मैं राम के साथ बाज़ार जाऊँगा,నేను RAM తో బజార్ చేస్తాము,नेनु RAM तो बजार् चेस्तामु,nenu RAM wo bajAr ceswAmu,
मैं सेना में शामिल होना चाहता हूँ,నేను సైన్యంలో చేరాలని అనుకుంటే,नेनु सॆॖन्यंलो चेरालनि अनुकुंटे,nenu seVnyaMlo cerAlani anukuMte,
मैं उससे एक किताब ले रहा हूँ,నేను నుండి ఒక పుస్తకం తీసుకొని చేస్తున్నాను,नेनु नुंडि ऒक पुस्तकं तीसुकॊनि चेस्तुन्नानु,nenu nuMdi oVka puswakaM wIsukoVni ceswunnAnu,
मैं उससे दो साल पहले शिमला में मिला था,నేను రెండు సంవత్సరాల క్రితం అతనికి సిమ్లా లో,नेनु रॆंडु संवत्सराल क्रितं अतनिकि सिम्ला लो,nenu reVMdu saMvawsarAla kriwaM awaniki simlA lo,
मैं उसे मारना चाहता हूँ,నేను అతనిని చంపడానికి కావలసిన,नेनु अतनिनि चंपडानिकि कावलसिन,nenu awanini caMpadAniki kAvalasina,
मैं तुम्हारे साथ वाराणसी जाऊँगा,నేను మీతో వారణాసి చేస్తాము,नेनु मीतो वारणासि चेस्तामु,nenu mIwo vAraNAsi ceswAmu,
मैं तुम्हारे वियोग को सहन नहीं कर सकता,నేను మీ మరణం భరించలేను,नेनु मी मरणं भरिंचलेनु,nenu mI maraNaM BariMcalenu,
मेरा भाई कानपुर में रहता है,నా సోదరుడు కాన్పూర్ లో నివసిస్తున్నారు,ना सोदरुडु कान्पूर् लो निवसिस्तुन्नारु,nA soxarudu kAnpUr lo nivasiswunnAru,
मेरे चाचा आसाम से आये,నా మామ అస్సాం వచ్చింది,ना माम अस्सां वच्चिंदि,nA mAma assAM vacciMxi,
मोहन क्रिकेट खेल रहा है,మోహన్ క్రికెట్ ఆడే,मोहन् क्रिकॆट् आडे,mohan krikeVt Ade,
मुझे आगरा में कहाँ ठहरना चाहिए,నేను ఎక్కడ ఆగ్రా ఉండడానికి ఉండాలి,नेनु ऎक्कड आग्रा उंडडानिकि उंडालि,nenu eVkkada AgrA uMdadAniki uMdAli,
मुझे आपका जवाब अच्छा लगा,నేను నైస్ సమాధానం,नेनु नॆॖस् समाधानं,nenu neVs samAXAnaM,
मुझे अपनी पुस्तक दिखाओ,నాకు మీ పుస్తకం చూపించు,नाकु मी पुस्तकं चूपिंचु,nAku mI puswakaM cUpiMcu,
मुझे उसे कहाँ ढूंढ़ना चाहिये,నేను అతనికి పేరు వెతకాలి,नेनु अतनिकि पेरु वॆतकालि,nenu awaniki peru veVwakAli,
फल खाइए,ఫ్రూట్ ఈట్,फ्रूट् ईट्,PrUt It,
फल खा,పండ్లు,पंड्लु,paMdlu,
फिर आइये,మళ్ళీ వచ్చి,मळ्ळी वच्चि,malYlYI vacci,
फिर आइयेगा,అప్పుడు తిరిగి వచ్చి,अप्पुडु तिरिगि वच्चि,appudu wirigi vacci,
प्रधानाद्ध्यापक ने सोहन को छात्रव्रित्ति दी,Prdhanaddyapak Chhatrwritti సోపన్ ఇచ్చింది,Prdhanaddyapak Chhatrwritti सोपन् इच्चिंदि,Prdhanaddyapak Chhatrwritti sopan icciMxi,
राज मैदान में खेलता है,రాజ్ రంగంలో పోషిస్తుంది,राज् रंगंलो पोषिस्तुंदि,rAj raMgaMlo poRiswuMxi,
राजीव की दादी कमरे में बैठी हैं,రాజీవ్ నాయనమ్మ గదిలో కూర్చుని,राजीव् नायनम्म गदिलो कूर्चुनि,rAjIv nAyanamma gaxilo kUrcuni,
राम कब बाज़ार जा रहा है,RAM ఉన్నప్పుడు ఉండటం మార్కెట్,RAM उन्नप्पुडु उंडटं मार्कॆट्,RAM unnappudu uMdataM mArkeVt,
राम का बेटा विद्यालय में पढता है,రామ్ కుమారుడు పాఠశాలలో చదవండి,राम् कुमारुडु पाठशाललो चदवंडि,rAm kumArudu pATaSAlalo caxavaMdi,
राम के द्वारा रावण मारा गया था,రావణ రామ ద్వారా చంపబడ్డాడు,रावण राम द्वारा चंपबड्डाडु,rAvaNa rAma xvArA caMpabaddAdu,
राम को बुलाओ,రామ్ కాల్,राम् काल्,rAm kAl,
राम क्या खा रहा है,RAM మీరు తినడానికి ఏమి ఉంది,RAM मीरु तिनडानिकि एमि उंदि,RAM mIru winadAniki emi uMxi,
राम ने रावण के साथ युद्ध किया,రామ రావణ తో పోరాడారు,राम रावण तो पोराडारु,rAma rAvaNa wo porAdAru,
राम और श्याम के बीच में गीटा बैथी है,తెలుపు మధ్య రామ్ మరియు గీతా లోతైన,तॆलुपु मध्य राम् मरियु गीता लोतॆॖन,weVlupu maXya rAm mariyu gIwA loweVna,
राम धीरे चलता है,రామ్ నెమ్మదిగా కదులుతుంది,राम् नॆम्मदिगा कदुलुतुंदि,rAm neVmmaxigA kaxuluwuMxi,
रसोई घर में कौन है,ఎవరు వంటగదిలో వార్తలు,ऎवरु वंटगदिलो वार्तलु,eVvaru vaMtagaxilo vArwalu,
रावन मारा गया,రావణ చంపబడ్డాడు,रावण चंपबड्डाडु,rAvaNa caMpabaddAdu,
शायद शोहन ने उसकी मदद किया होगा,బహుశా ప్రొఫెసర్ Sohn ఆమె సహాయపడటం,बहुशा प्रॊफॆसर् Sohn आमॆ सहायपडटं,bahuSA proVPeVsar Sohn AmeV sahAyapadataM,
शायद वह यहां आया होगा,బహుశా అతను ఇక్కడ వస్తాయి,बहुशा अतनु इक्कड वस्तायि,bahuSA awanu ikkada vaswAyi,
सीता ने राम के साथ विवाह किया,సీతా రామ తో వివాహం,सीता राम तो विवाहं,sIwA rAma wo vivAhaM,
सोमवार के बाद मंगलवार आता हे,మంగళవారం సోమవారం యొక్క O తర్వాత వస్తుంది,मंगळवारं सोमवारं यॊक्क O तर्वात वस्तुंदि,maMgalYavAraM somavAraM yoVkka O warvAwa vaswuMxi,
सो रहे हो क्या,కాబట్టి మీరు,काबट्टि मीरु,kAbatti mIru,
सूर्य पूरब में निकलता है,సూర్యుడు తూర్పున మారుతుంది,सूर्युडु तूर्पुन मारुतुंदि,sUryudu wUrpuna mAruwuMxi,
सुधीर झूंठ बोल रहा था,సుధీర్ Junt మాట్లాడుతూ,सुधीर् Junt माट्लाडुतू,suXIr Junt mAtlAduwU,
उसकी माँ खाना बना रही है,అతని తల్లి వంట,अतनि तल्लि वंट,awani walli vaMta,
उसने अनाथालय से एक बच्चा गोड लिया,అతను అనాథ నుండి దేవుని ఒక చిన్న బిడ్డను తీసికొని,अतनु अनाथ नुंडि देवुनि ऒक चिन्न बिड्डनु तीसिकॊनि,awanu anAWa nuMdi xevuni oVka cinna biddanu wIsikoVni,
उसने चुनाव में किस्मत आजमाया,అతను ఎన్నికల్లో ఆయన అదృష్టం ప్రయత్నించారు,अतनु ऎन्निकल्लो आयन अदृष्टं प्रयत्निंचारु,awanu eVnnikallo Ayana axqRtaM prayawniMcAru,
उसने किरन को एक कहानी सुनाई,అతను కిరణ్ ఒక కథ చెప్పారు,अतनु किरण् ऒक कथ चॆप्पारु,awanu kiraN oVka kaWa ceVppAru,
उसे एक रोएंदार सिलेटी बिल्ली दिखाई दी,ఒక మెత్తటి బూడిద పిల్లి చూసిన నివేదించారు,ऒक मॆत्तटि बूडिद पिल्लि चूसिन निवेदिंचारु,oVka meVwwati bUdixa pilli cUsina nivexiMcAru,
वह अंधे आदमी की सहायता करेगा,అతను బ్లైండ్ మనిషి సహాయం ఉంటుంది,अतनु ब्लॆॖंड् मनिषि सहायं उंटुंदि,awanu bleVMd maniRi sahAyaM uMtuMxi,
वह अपने साइकिल पर स्कूल जाती है,అతను తన సైకిల్ మీద స్కూల్ కి వెళ్తాడు,अतनु तन सॆॖकिल् मीद स्कूल् कि वॆळ्ताडु,awanu wana seVkil mIxa skUl ki veVlYwAdu,
वह बाज़ार से एक पुसतक खरीदेगा,అతను Marketplace నుండి కొనుగోలు పుస్తకాలు ఉంది,अतनु Marketplace नुंडि कॊनुगोलु पुस्तकालु उंदि,awanu Marketplace nuMdi koVnugolu puswakAlu uMxi,
वह गीत गाता है,ఆమె పాటలు పాడాడు,आमॆ पाटलु पाडाडु,AmeV pAtalu pAdAdu,
वह कहाँ काम करता है,అతను పనిచేసిన,अतनु पनिचेसिन,awanu panicesina,
वह कमरे में क्या कर रहा था,అతను గదిలో చేస్తున్న,अतनु गदिलो चेस्तुन्न,awanu gaxilo ceswunna,
वह मुम्बई में क्या कर रही थी,అతను ముంబై చేస్తున్న,अतनु मुंबॆॖ चेस्तुन्न,awanu muMbeV ceswunna,
वह रामायण पढ़ रहा है,అతను రామాయణ చదవడానికి,अतनु रामायण चदवडानिकि,awanu rAmAyaNa caxavadAniki,
वह स्कूल कब जाता है,పాఠశాల ఉన్నప్పుడు,पाठशाल उन्नप्पुडु,pATaSAla unnappudu,
वह सोमवार के पहले मुम्बई गया है,అతను సోమవారం ముందు ముంబై లో,अतनु सोमवारं मुंदु मुंबॆॖ लो,awanu somavAraM muMxu muMbeV lo,
वह वीडियो गेम खेल रही है,ఆయన వీడియో గేమ్స్ ఆడుతూ,आयन वीडियो गेम्स् आडुतू,Ayana vIdiyo gems AduwU,
वह दुबारा क्रीकेट खेल सकता है,అతను మళ్ళీ గేమ్ roquet కాలేదు,अतनु मळ्ळी गेम् roquet कालेदु,awanu malYlYI gem roquet kAlexu,
वह यहाँ कभी नहीं आया है,ఆయన ఇక్కడ జరుగలేదు,आयन इक्कड जरुगलेदु,Ayana ikkada jarugalexu,
वे अपना पाठ याद करते है,వారు వారి పాఠాలు చేయండి,वारु वारि पाठालु चेयंडि,vAru vAri pATAlu ceyaMdi,
वे बहुत आलसी थे,వారు చాలా సోమరి ఉన్నాయి,वारु चाला सोमरि उन्नायि,vAru cAlA somari unnAyi,
विक्टर और मनोज जूस पीते हैं,విక్టర్ మనోజ్ రసాలను తాగడానికి,विक्टर् मनोज् रसालनु तागडानिकि,viktar manoj rasAlanu wAgadAniki,
तुम क्या कहना चाहते हो,మీరు చెప్పే అనుకుంటున్నారు,मीरु चॆप्पे अनुकुंटुन्नारु,mIru ceVppe anukuMtunnAru,
तुम क्या कर रहे हो,మీరు ఏం చేస్తున్నారు?,मीरु एं चेस्तुन्नारु?,mIru eM ceswunnAru?,
तुमने आगरा में क्या देखा,మీరు ఆగ్రా హోటల్ లో ఏం చేసావ్,मीरु आग्रा होटल् लो एं चेसाव्,mIru AgrA hotal lo eM cesAv,
तुमने क्या खरीदा,మీరు కొనుగోలు చేసిన,मीरु कॊनुगोलु चेसिन,mIru koVnugolu cesina,
तुम सड़क कब पार करते हो,మీరు రోడ్ తిర్యక్ కలిగి,मीरु रोड् तिर्यक् कलिगि,mIru rod wiryak kaligi,
तुम संजय से कब मिले,మీరు సంజయ్ కలిసినప్పుడు,मीरु संजय् कलिसिनप्पुडु,mIru saMjay kalisinappudu,
तुम्हारी माताजी क्या करती हैं,ఏమి మీ తల్లి ఆమె చేస్తాను,एमि मी तल्लि आमॆ चेस्तानु,emi mI walli AmeV ceswAnu,
