Hindi,csv file,Telugu,Telugu(WX),morph
क्या आप उसे पहचानते हैं,,మీరు అతన్ని గుర్తుపడ్తారా,mIru awanni gurwupadwArA,
क्या आप यह काम कर सकती है,,మీరు ఈ పని చేయగలరా,mIru I pani ceyagalarA,
क्या हम कल इस समय मैच खेल रहे होंगे,,మనం రేపు ఈ సమయానికి మ్యాచ్ ఆడుతూ ఉంటామా,manaM repu I samayAniki myAc AduwU uMtAmA,
क्या कल तुम बाज़ार गये थे,,నిన్న నువ్వు బజారుకి వెళ్లావా,ninna nuvvu bajAruki veVlYlAvA,
क्या कोइ परेशानी है,,ఏదైనా సమస్యా,exEnA samasyA,
क्या मैं अब केक काट सकता हूँ,,నేను ఇక కేక్ కట్ చేయవచ్చా,nenu ika kek kat ceyavaccA,
क्या मैं आप के साथ नाच सकता हूं,,నేను మీతో నాట్యం చేయవచ్చా,nenu mIwo nAtyaM ceyavaccA,
क्या मैं बाल सभा में सम्मिलित हो सकता हुं,,నేను బాల సభలో చేరవచ్చా,nenu bAla saBalo ceravaccA,
क्या मैं तुम्हारा फ़ोन इस्तेमाल कर सकता हूं,,నేను నీ ఫోన్ ఉపయోగించవచ్చా,nenu nI Pon upayogiMcavaccA,
क्या मैं यहाँ बैठ सकता हूँ,,నేను ఇక్కడ కూర్చోవచ్చా,nenu ikkada kUrcovaccA,
क्या रीता फ़िल्म देख रही है,,రీటా సినిమా చూస్తుందా,rItA sinimA cUswuMxA,
क्या सोहन भूखा था,,సోహన్ ఆకలితో ఉన్నాడా,sohan Akaliwo unnAdA,
क्या वह अपनी माता के साथ दिल्ली जाती है,,ఆమె తన తల్లి వెంట ఢిల్లీ వెళ్తుందా,AmeV wana walli veVMta DillI veVlYwuMxA,
क्या वह जा चुकी होगी,,ఆమె వెళ్లిపోయి ఉంటుందా,AmeV veVlYlipoyi uMtuMxA,
क्या वह तुम्हें एक कलम देता है,,అతను నీకు ఒక కలము ఇస్తాడా,awanu nIku oVka kalamu iswAdA,
क्या तेरा भाई कनाडा से आ चुका होगा,,మీ అన్నయ్య కెనడా నుంచి వచ్చేసి ఉండ వచ్చా,mI annayya keVnadA nuMci vaccesi uMda vaccA,
क्या तुम अखबार पढ़ रही थी,,నువ్వు పేపర్ చదువుతున్నావా,nuvvu pepar caxuvuwunnAvA,
क्या तुम अंग्रेजी पढते हो,,నువ్వు ఆంగ్లం చదువుతావా,nuvvu AMglaM caxuvuwAvA,
क्या तुम बीमार हो,,నీకు జబ్బు చేసిందా,nIku jabbu cesiMxA,
क्या तुम मेरे लिए पानी ला सकते हो,,నువ్వు నా కోసం నీళ్లు తీసుకొని వస్తావా,nuvvu nA kosaM nIlYlu wIsukoVni vaswAvA,
क्या तुम मुम्बई में रहते हो,,నువ్వు ముంబాయిలో ఉంటావా,nuvvu muMbAyilo uMtAvA,
क्या तुमने अपना काम कर लिया,,నువ్వు నీ పని చేసుకున్నావా,nuvvu nI pani cesukunnAvA,
क्या तुमने कल अपना पाठ याद किया,,నువ్వు నిన్న నీ పాఠం గుర్తుచేసుకున్నావా,nuvvu ninna nI pATaM gurwucesukunnAvA,
क्या तुमने यहाँ ठंडा पेय लिया था,,నువ్వు ఇక్కడ శీతల పానీయం తీసుకున్నావా,nuvvu ikkada SIwala pAnIyaM wIsukunnAvA,
क्या तुम पिछले दो घंटे से पढ़ रहे थे,,నువ్వు గత రెండు గంటల నుంచి చదువుతున్నావా,nuvvu gawa reVMdu gaMtala nuMci caxuvuwunnAvA,
क्या तुम रात को यहा ठहरोगे,,నువ్వు రాత్రికి ఇక్కడ ఉండిపోతావా,nuvvu rAwriki ikkada uMdipowAvA,
क्या तुम शादी के बाद काम करना चाहती हो,,నువ్వు పెళ్ళి అయ్యాక ఉద్యోగం చేయాలనుకుంటున్నావా,nuvvu peVlYlYi ayyAka uxyogaM ceyAlanukuMtunnAvA,
क्या तुम सिनेमा गए थे,,నువ్వు సినిమాకి వెళ్లావా,nuvvu sinimAki veVlYlAvA,
क्या तुम सितर बजा सकती हो,,నువ్వు సితార్ వాయించగలవా,nuvvu siwAr vAyiMcagalavA,
क्या तुम सो रहे हो,,నువ్వు నిద్రపోతున్నావా,nuvvu nixrapowunnAvA,
क्या तुम विद्यालय जा रहे हो,,నువ్వు పాఠశాలకు వెళ్తున్నావా,nuvvu pATaSAlaku veVlYwunnAvA,
क्या तुम्हारे पिताजी सरकारी नौकरी करते हैं,,మీ నాన్నగారు ప్రభుత్వ ఉద్యోగం చేస్తారా,mI nAnnagAru praBuwva uxyogaM ceswArA,
क्या तुम्हारी माँ तुमसे प्रेम करती है,,మీ అమ్మ నిన్ను ప్రేమిస్తుందా,mI amma ninnu premiswuMxA,
क्या तुम्हें चावल पसंद है,,నీకు అన్నం ఇష్టమా,nIku annaM iRtamA,
लडZकी गुडिया बना रही है,,అమ్మాయి బొమ్మ తయారు చేస్తుంది,ammAyi boVmma wayAru ceswuMxi,
लड़का स्कूल से अनुपस्थित था,,అబ్బాయి స్కూల్ కి గైర్హాజరు అయ్యాడు,abbAyi skUl ki gErhAjaru ayyAdu,
मकान कब देखना चाहते हैं,,ఇల్లు ఎప్పుడు చూడాలని అనుకుంటున్నారు,illu eVppudu cUdAlani anukuMtunnAru,
माली फूल चुन रहा है,,తోటమాలి పువ్వులు ఏరుతున్నాడు,wotamAli puvvulu eruwunnAdu,
मार्किट् में कौन जाएगा,,బజారుకి ఎవరు వెళ్తారు,bajAruki eVvaru veVlYwAru,
माँ चावल पका रही है,,అమ్మ అన్నం వండుతుంది,amma annaM vaMduwuMxi,
मैं आज क्रिकेट मैच देखना चाहता हूँ,,నేను ఈ రోజు క్రికెట్ మ్యాచ్ చూడాలనుకుంటున్నాను,nenu I roju krikeVt myAc cUdAlanukuMtunnAnu,
मैं जाऊंगा,,నేను వెళ్తాను,nenu veVlYwAnu,
मैं कानपुर में रहता हूँ,,నేను కాన్పూర్ లో ఉంటాను,nenu kAnpUr lo uMtAnu,
मैं नहीं जा सकता,,నేను వెళ్లలేను,nenu veVlYlalenu,
मैंने रंगीन टेलीविज़न खरीदा है,,నేను కలర్ టెలివిజన్ తీసుకున్నాను,nenu kalar teVlivijan wIsukunnAnu,
मैंने दो शेर देखा,,నేను రెండు సింహాలు చూశాను,nenu reVMdu siMhAlu cUSAnu,
मैंने यह मेज आज बनाई है,,నేను ఈ బల్లని ఈ రోజు చేశాను,nenu I ballani I roju ceSAnu,
मैं परचेज़ मैनेजर से मिलना चाहता हूँ,,నేను పర్చేజ్ మేనేజర్ ని కలవాలి,nenu parcej menejar ni kalavAli,
मैं राम के साथ बाज़ार जाऊँगा,,నేను రాము వెంట బజారుకి వెళ్తాను,nenu rAmu veVMta bajAruki veVlYwAnu,
मैं सेना में शामिल होना चाहता हूँ,,నేను సేనాలో చేరాలనుకుంటున్నాను,nenu senAlo cerAlanukuMtunnAnu,
मैं उससे एक किताब ले रहा हूँ,,నేను ఆతని దగ్గర నుంచి ఒక పుస్తకం తీసుకుంటున్నాను,nenu Awani xaggara nuMci oVka puswakaM wIsukuMtunnAnu,
मैं उससे दो साल पहले शिमला में मिला था,,నేను అతనిని రెండు సంవత్సరాల ముందు శిమ్లాలో కలిశాను,nenu awanini reVMdu saMvawsarAla muMxu SimlAlo kaliSAnu,
मैं उसे मारना चाहता हूँ,,నేను అతనిని చంపాలనుకుంటున్నాను,nenu awanini caMpAlanukuMtunnAnu,
मैं तुम्हारे साथ वाराणसी जाऊँगा,,నేను నీ వెంట వారణాసీ వస్తాను,nenu nI veVMta vAraNAsI vaswAnu,
मैं तुम्हारे वियोग को सहन नहीं कर सकता,,నేను నీ వియోగాన్ని భరించ లేను,nenu nI viyogAnni BariMca lenu,
मेरा भाई कानपुर में रहता है,,మా అన్నయ్య కాన్పూర్ లో ఉంటాడు,mA annayya kAnpUr lo uMtAdu,
मेरे चाचा आसाम से आये,,మా చిన్నాన్న అస్సాం నుంచి వచ్చారు,mA cinnAnna assAM nuMci vaccAru,
मोहन क्रिकेट खेल रहा है,,మోహన్ క్రికెట్ ఆడుతున్నాడు,mohan krikeVt AduwunnAdu,
मुझे आगरा में कहाँ ठहरना चाहिए,,నేను ఆగ్రాలో ఎక్కడ ఉండాలి,nenu AgrAlo eVkkada uMdAli,
मुझे आपका जवाब अच्छा लगा,,నాకు మీ సమాధానం బాగా అనిపించింది,nAku mI samAXAnaM bAgA anipiMciMxi,
मुझे अपनी पुस्तक दिखाओ,,నాకు నీ పుస్తకం చూపించు,nAku nI puswakaM cUpiMcu,
मुझे उसे कहाँ ढूंढ़ना चाहिये,,నేను అతనిని ఎక్కడ వెతకాలి,nenu awanini eVkkada veVwakAli,
फल खाइए,,పళ్లు తినండి,palYlu winaMdi,
फल खा,,పళ్లు తిను,palYlu winu,
फिर आइये,,మళ్లీ రండి,malYlI raMdi,
फिर आइयेगा,,మళ్లీ రండి,malYlI raMdi,
प्रधानाद्ध्यापक ने सोहन को छात्रव्रित्ति दी,,ప్రధానోపాధ్యాయుడు సోహన్ కి ఉపకార వేతనం ఇచ్చారు,praXAnopAXyAyudu sohan ki upakAra vewanaM iccAru,
राज मैदान में खेलता है,,రాజ్ గ్రౌండులో ఆడుతాడు,rAj grOMdulo AduwAdu,
राजीव की दादी कमरे में बैठी हैं,,రాజీవ్ వాళ్ల నాన్నమ్మ గదిలో కూర్చుంది,rAjIv vAlYla nAnnamma gaxilo kUrcuMxi,
राम कब बाज़ार जा रहा है,,రాము ఎప్పుడు బజారుకి వెళ్తున్నాడు,rAmu eVppudu bajAruki veVlYwunnAdu,
राम का बेटा विद्यालय में पढता है,,రాము వాళ్ల కొడుకు పాఠశాలలో చదువుతాడు,rAmu vAlYla koVduku pATaSAlalo caxuvuwAdu,
राम के द्वारा रावण मारा गया था,,రాముడి ద్వారా రావణుడు చంపబడ్డాడు,rAmudi xvArA rAvaNudu caMpabaddAdu,
राम को बुलाओ,,రాముని పిలువు,rAmuni piluvu,
राम क्या खा रहा है,,రాము ఏమి తింటున్నాడు,rAmu emi wiMtunnAdu,
राम ने रावण के साथ युद्ध किया,,రాముడు రావణుడితో యుద్ధం చేశాడు,rAmudu rAvaNudiwo yuxXaM ceSAdu,
राम और श्याम के बीच में गीटा बैथी है,,రాము మరియు శ్యామ్ మధ్య గీతా కూర్చుంది,rAmu mariyu SyAm maXya gIwA kUrcuMxi,
राम धीरे चलता है,,రాము నెమ్మదిగా నడుస్తాడు,rAmu neVmmaxigA naduswAdu,
रसोई घर में कौन है,,వంట గదిలో ఎవరు ఉన్నారు,vaMta gaxilo eVvaru unnAru,
रावन मारा गया,,రావణుడు చంపబడ్డాడు,rAvaNudu caMpabaddAdu,
शायद शोहन ने उसकी मदद किया होगा,,బహుశా సోహన్ తనకు సహాయం చేసి ఉండవచ్చు,bahuSA sohan wanaku sahAyaM cesi uMdavaccu,
शायद वह यहां आया होगा,,బహుశా అతను ఇక్కడికి వచ్చి ఉండవచ్చు,bahuSA awanu ikkadiki vacci uMdavaccu,
सीता ने राम के साथ विवाह किया,,సీతా రాముడిని వివాహం చేసుకుంది,sIwA rAmudini vivAhaM cesukuMxi,
सोमवार के बाद मंगलवार आता हे,,సోమవారం తర్వాత మంగళవారం వస్తుంది,somavAraM warvAwa maMgalYavAraM vaswuMxi,
सो रहे हो क्या,,నిద్రపోతున్నావా,nixrapowunnAvA,
सूर्य पूरब में निकलता है,,సూర్యుడు తూర్పున ఉదయిస్తాడు,sUryudu wUrpuna uxayiswAdu,
सुधीर झूंठ बोल रहा था,,?,?,
उसकी माँ खाना बना रही है,,అతని తల్లి అన్నం వండుతుంది,awani walli annaM vaMduwuMxi,
उसने अनाथालय से एक बच्चा गोड लिया,,?,?,
उसने चुनाव में किस्मत आजमाया,,అతను ఎన్నికలలో అదృష్టాన్ని పరీక్షంచుకున్నాడు,awanu eVnnikalalo axqRtAnni parIkRaMcukunnAdu,
उसने किरन को एक कहानी सुनाई,,అతను కిరణ్ కి ఒక కథ చెప్పాడు,awanu kiraN ki oVka kaWa ceVppAdu,
उसे एक रोएंदार सिलेटी बिल्ली दिखाई दी,,అతనికి జూలుగల ఒక బూడిద రంగు పిల్లి కనిపించింది,awaniki jUlugala oVka bUdixa raMgu pilli kanipiMciMxi,
वह अंधे आदमी की सहायता करेगा,,అతను గుడ్డి వ్యక్తికి సహాయం చేస్తాడు,awanu guddi vyakwiki sahAyaM ceswAdu,
वह अपने साइकिल पर स्कूल जाती है,,ఆమె తన సైకిల్ పైన స్కూల్ కి వెళ్తుంది,AmeV wana sEkil pEna skUl ki veVlYwuMxi,
वह बाज़ार से एक पुसतक खरीदेगा,,అతను బజారు నుంచి ఒక పుస్తకం కొనుకుంటుంది,awanu bajAru nuMci oVka puswakaM koVnukuMtuMxi,
वह गीत गाता है,,అతను పాట పాడ్తాడు,awanu pAta pAdwAdu,
वह कहाँ काम करता है,,అతను ఎక్కడ పని చేస్తాడు,awanu eVkkada pani ceswAdu,
वह कमरे में क्या कर रहा था,,అతను గదిలో ఏమి చేస్తున్నాడు,awanu gaxilo emi ceswunnAdu,
वह मुम्बई में क्या कर रही थी,,ఆమె ముంబాయిలో ఏమి చేస్తుండేది,AmeV muMbAyilo emi ceswuMdexi,
वह रामायण पढ़ रहा है,,అతను రామాయణం చదువుతున్నాడు,awanu rAmAyaNaM caxuvuwunnAdu,
वह स्कूल कब जाता है,,అతను స్కూల్ కి ఎప్పుడు వెళ్తాడు,awanu skUl ki eVppudu veVlYwAdu,
वह सोमवार के पहले मुम्बई गया है,,అతను సోమవారం కంటే ముందు ముంబాయికి వెళ్లాడు,awanu somavAraM kaMte muMxu muMbAyiki veVlYlAdu,
वह वीडियो गेम खेल रही है,,ఆమె వీడియో గేమ్ ఆడుతుంది,AmeV vIdiyo gem AduwuMxi,
वह दुबारा क्रीकेट खेल सकता है,,అతను మళ్లీ క్రికెట్ ఆడ గలడు,awanu malYlI krikeVt Ada galadu,
वह यहाँ कभी नहीं आया है,,అతను ఇక్కడికి ఎప్పుడూ రాలేదు,awanu ikkadiki eVppudU rAlexu,
वे अपना पाठ याद करते है,,వాళ్లు తమ పాఠాలని కంఠస్థం చేసుకుంటారు,vAlYlu wama pATAlani kaMTasWaM cesukuMtAru,
वे बहुत आलसी थे,,వాళ్లు చాలా బద్దకస్థులు,vAlYlu cAlA baxxakasWulu,
विक्टर और मनोज जूस पीते हैं,,విక్టర్ మరియు మనోజ్ జూస్ తాగుతారు,viktar mariyu manoj jUs wAguwAru,
तुम क्या कहना चाहते हो,,నువ్వు ఏమి చెప్పదలుచుకున్నావు,nuvvu emi ceVppaxalucukunnAvu,
तुम क्या कर रहे हो,,నువ్వు ఏమి చేస్తున్నావు,nuvvu emi ceswunnAvu,
तुमने आगरा में क्या देखा,,నువ్వు ఆగ్రాలో ఏమి చూసావు,nuvvu AgrAlo emi cUsAvu,
तुमने क्या खरीदा,,నువ్వు ఏం కొన్నావు,nuvvu eM koVnnAvu,
तुम सड़क कब पार करते हो,,నువ్వు రోడ్డుని ఎప్పుడు దాటుతావు,nuvvu rodduni eVppudu xAtuwAvu,
तुम संजय से कब मिले,,నువ్వు సంజయ్ ని ఎప్పుడు కలిశావు,nuvvu saMjay ni eVppudu kaliSAvu,
तुम्हारी माताजी क्या करती हैं,,మీ అమ్మగారు ఏం చేస్తారు,mI ammagAru eM ceswAru,
