Hindi,Telugu,Telugu(Devnagari),Telugu(WX),Tamil
आप उनसे कब मिलना चाहते हैं,మీరు అతనిని కలుసుకోవాలనుకోవడం,मीरु अतनिनि कलुसुकोवालनुकोवडं,mIru awanini kalusukovAlanukovadaM,మీరు ఆయనని ఎప్పుడు కలవాలని అనుకుంటున్నారు,
अध्यापक अभी आये है,టీచర్స్ ఇప్పటికీ వచ్చి,टीचर्स् इप्पटिकी वच्चि,tIcars ippatikI vacci,ఉపాధ్యాయుడు ఇప్పుడే వచ్చారు,
बच्चा क्यों रोता है,బేబీ ఎందుకు ఏడుస్తున్నావు,बेबी ऎंदुकु एडुस्तुन्नावु,bebI eVMxuku eduswunnAvu,పిల్లవాడు ఎందుకు ఏడుస్తాడు,
बढ़ई ने एक सुन्दर कुर्सी बनाई है,కార్పెంటర్ ఒక అందమైన కుర్చీ సృష్టించింది,कार्पॆंटर् ऒक अंदमॆॖन कुर्ची सृष्टिंचिंदि,kArpeVMtar oVka aMxameVna kurcI sqRtiMciMxi,వడ్రంగి ఒక అందమైన కుర్చీ తయారు చేశాడు,
बेटों ने उसमें बीज बो दिया,విత్తనాలు విత్తిన సన్స్,वित्तनालु वित्तिन सन्स्,viwwanAlu viwwina sans,కొడుకులు దానిలో విత్తనాలు నాటేశారు,
बिल्ली ने कितना दूध पिया है,క్యాట్ చాలా పాలు ఉంది,क्याट् चाला पालु उंदि,kyAt cAlA pAlu uMxi,పిల్లి ఎన్ని పాలు తాగింది,
डाइटिंग कर रही हो क्या,మీరు ఆహార నియంత్రణ ఏం చేస్తున్నారు,मीरु आहार नियंत्रण एं चेस्तुन्नारु,mIru AhAra niyaMwraNa eM ceswunnAru,డయిటింగ్ చేస్తున్నావా,
एक बूढ़ा आदमी था,ఒక పాత మనిషి ఉంది,ऒक पात मनिषि उंदि,oVka pAwa maniRi uMxi,ఒక ముసలి వ్యక్తి ఉండేవాడు,
एक बूढ़ी औरत था,పాత మహిళ,पात महिळ,pAwa mahilYa,?
गाय घास खती है,ఆవు గడ్డి ఋణం పిట్,आवु गड्डि ऋणं पिट्,Avu gaddi qNaM pit,ఆవు గడ్డి మేస్తుంది,
गीत किसने गाया,"పాడారు సాంగ్,","पाडारु सांग्,","pAdAru sAMg,",పాట ఎవరు పాడారు,
गोविन्द अपना पाठ याद कर चुका है,గోవింద్ వారి పాఠాలు ఉంది,गोविंद् वारि पाठालु उंदि,goviMx vAri pATAlu uMxi,గోవింద్ తన పాఠాన్ని నేర్చేసుకున్నాడు,
हमने मैच जीत लिया,మేము మ్యాచ్ గెలిచింది,मेमु म्याच् गॆलिचिंदि,memu myAc geVliciMxi,మేం మ్యాచ్ గెలిచేశాం,
हमारे प्रधानमन्त्री ने कल कश्मीर का दौरा किया,మా ప్రధాని కాశ్మీర్ సందర్శించారు,मा प्रधानि काश्मीर् संदर्शिंचारु,mA praXAni kASmIr saMxarSiMcAru,మన ప్రధాన మంత్రి నిన్న కాశ్మీరు పర్యటించారు,
हरी कल मुम्बई जा रहा है,గ్రీన్ రేపు ముంబై అన్నారు,ग्रीन् रेपु मुंबॆॖ अन्नारु,grIn repu muMbeV annAru,హరీ రేపు ముంబాయి వెళ్తున్నాడు,
जाऔ,Jaaw,Jaaw,Jaaw,?
कक्षा में बहुत छात्र हैं,తరగతి లో అనేక మంది విద్యార్థులు,तरगति लो अनेक मंदि विद्यार्थुलु,waragawi lo aneka maMxi vixyArWulu,తరగతి లో చాలా మంది విద్యార్థులు ఉన్నారు,
कक्षा में कौन रो रह हइ,ఎవరు నివసిస్తున్న క్రై హాయ్ క్లాస్,ऎवरु निवसिस्तुन्न क्रॆॖ हाय् क्लास्,eVvaru nivasiswunna kreV hAy klAs,?
कल मैच कौन जीता,ఏ మ్యాచ్ నిన్న గెలిచింది,ए म्याच् निन्न गॆलिचिंदि,e myAc ninna geVliciMxi,నిన్న మ్యాచ్ ఎవరు గెలిచారు,
कल तुम इस समय गाड़ी में यात्रा कर रहे होगे,రేపు మీరు కారులో ప్రయాణించే ఉంటుంది,रेपु मीरु कारुलो प्रयाणिंचे उंटुंदि,repu mIru kArulo prayANiMce uMtuMxi,రేపు మీరు ఈ సమయానికి కారులో ప్రయాణిస్తూ ఉంటారు,
क्या अब आपने वहाँ नौकरी छोड़ दी,మీరు ఉద్యోగం అక్కడ వదిలి ఇక ఏం,मीरु उद्योगं अक्कड वदिलि इक एं,mIru uxyogaM akkada vaxili ika eM,ఇప్పుడు మీరు అక్కడ ఉద్యోగం మానేశారా,
क्या आप आरम करना चाहते हैं,మీకు సులువు అనుకుంటున్నారు,मीकु सुलुवु अनुकुंटुन्नारु,mIku suluvu anukuMtunnAru,?
क्या आप हमारे साथ बैठेंगे,మీరు మాతో కూర్చుని లేదు,मीरु मातो कूर्चुनि लेदु,mIru mAwo kUrcuni lexu,మీరు మాతో కూర్చుంటారా,
क्या आप नमुने लायें है,మీరు నమూనాలను తీసుకుని,मीरु नमूनालनु तीसुकुनि,mIru namUnAlanu wIsukuni,?
क्या आप उसे पहचानते हैं,మీరు అతన్ని గుర్తుపట్టారా,मीरु अतन्नि गुर्तुपट्टारा,mIru awanni gurwupattArA,మీరు అతన్ని గుర్తుపడ్తారా,
क्या आप यह काम कर सकती है,మీరు అది పని చేయడానికి చేయవచ్చు,मीरु अदि पनि चेयडानिकि चेयवच्चु,mIru axi pani ceyadAniki ceyavaccu,మీరు ఈ పని చేయగలరా,
क्या हम कल इस समय मैच खेल रहे होंगे,మేము రేపు ఈ మ్యాచ్లో పోషించనున్నారని,मेमु रेपु ई म्याच्लो पोषिंचनुन्नारनि,memu repu I myAclo poRiMcanunnArani,మనం రేపు ఈ సమయానికి మ్యాచ్ ఆడుతూ ఉంటామా,
क्या कल तुम बाज़ार गये थे,రేపు మీరు మార్కెట్లో అమ్మకాలు,रेपु मीरु मार्कॆट्लो अम्मकालु,repu mIru mArkeVtlo ammakAlu,నిన్న నువ్వు బజారుకి వెళ్లావా,
क्या कोइ परेशानी है,ఏ సమస్య,ए समस्य,e samasya,ఏదైనా సమస్యా,
क्या मैं अब केक काट सकता हूँ,నేను ఇప్పుడు కేక్ కట్ చేయవచ్చు,नेनु इप्पुडु केक् कट् चेयवच्चु,nenu ippudu kek kat ceyavaccu,నేను ఇక కేక్ కట్ చేయవచ్చా,
क्या मैं आप के साथ नाच सकता हूं,నేను మీతో నాట్యం,नेनु मीतो नाट्यं,nenu mIwo nAtyaM,నేను మీతో నాట్యం చేయవచ్చా,
क्या मैं बाल सभा में सम्मिलित हो सकता हुं,హన్ నేను పిల్లల గృహము చేరవచ్చు,हन् नेनु पिल्लल गृहमु चेरवच्चु,han nenu pillala gqhamu ceravaccu,నేను బాల సభలో చేరవచ్చా,
क्या मैं तुम्हारा फ़ोन इस्तेमाल कर सकता हूं,నేను మీ ఫోన్ ఉపయోగించవచ్చు,नेनु मी फोन् उपयोगिंचवच्चु,nenu mI Pon upayogiMcavaccu,నేను నీ ఫోన్ ఉపయోగించవచ్చా,
क्या मैं यहाँ बैठ सकता हूँ,నేను ఇక్కడ కూర్చుని చేయవచ్చు,नेनु इक्कड कूर्चुनि चेयवच्चु,nenu ikkada kUrcuni ceyavaccu,నేను ఇక్కడ కూర్చోవచ్చా,
क्या रीता फ़िल्म देख रही है,ఏం రీటా చిత్రం చూడరు,एं रीटा चित्रं चूडरु,eM rItA ciwraM cUdaru,రీటా సినిమా చూస్తుందా,
क्या सोहन भूखा था,ఏం సోపన్ ఆకలితో,एं सोपन् आकलितो,eM sopan Akaliwo,సోహన్ ఆకలితో ఉన్నాడా,
क्या वह अपनी माता के साथ दिल्ली जाती है,ఏం అతను తన తల్లితో కలిసి ఢిల్లీలో ఉంది,एं अतनु तन तल्लितो कलिसि ढिल्लीलो उंदि,eM awanu wana walliwo kalisi DillIlo uMxi,ఆమె తన తల్లి వెంట ఢిల్లీ వెళ్తుందా,
क्या वह जा चुकी होगी,ఆమె ఉండేది,आमॆ उंडेदि,AmeV uMdexi,ఆమె వెళ్లిపోయి ఉంటుందా,
क्या वह तुम्हें एक कलम देता है,అతను మీరు ఒక పెన్ ఇస్తుంది ఏమిటి,अतनु मीरु ऒक पॆन् इस्तुंदि एमिटि,awanu mIru oVka peVn iswuMxi emiti,అతను నీకు ఒక కలము ఇస్తాడా,
क्या तेरा भाई कनाडा से आ चुका होगा,మీ సోదరుడు గురించి ఏమి కెనడా నుంచి తిరిగి ఉంటుంది,मी सोदरुडु गुरिंचि एमि कॆनडा नुंचि तिरिगि उंटुंदि,mI soxarudu guriMci emi keVnadA nuMci wirigi uMtuMxi,మీ అన్నయ్య కెనడా నుంచి వచ్చేసి ఉండ వచ్చా,
क्या तुम अखबार पढ़ रही थी,ఏం మీరు వార్తాపత్రిక చదవడం,एं मीरु वार्तापत्रिक चदवडं,eM mIru vArwApawrika caxavadaM,నువ్వు పేపర్ చదువుతున్నావా,
क्या तुम अंग्रेजी पढते हो,మీరు ఇంగ్లీష్ చదివే,मीरु इंग्लीष् चदिवे,mIru iMglIR caxive,నువ్వు ఆంగ్లం చదువుతావా,
क्या तुम बीमार हो,మీరు జబ్బుపడిన,मीरु जब्बुपडिन,mIru jabbupadina,నీకు జబ్బు చేసిందా,
क्या तुम मेरे लिए पानी ला सकते हो,మీరు నాకు కొన్ని నీటి తీసుకుని చేయవచ్చు,मीरु नाकु कॊन्नि नीटि तीसुकुनि चेयवच्चु,mIru nAku koVnni nIti wIsukuni ceyavaccu,నువ్వు నా కోసం నీళ్లు తీసుకొని వస్తావా,
क्या तुम मुम्बई में रहते हो,మీరు ముంబై లో నివసిస్తున్నారా,मीरु मुंबॆॖ लो निवसिस्तुन्नारा,mIru muMbeV lo nivasiswunnArA,నువ్వు ముంబాయిలో ఉంటావా,
क्या तुमने अपना काम कर लिया,మీరు మీ పని పూర్తి తెలుసా,मीरु मी पनि पूर्ति तॆलुसा,mIru mI pani pUrwi weVlusA,నువ్వు నీ పని చేసుకున్నావా,
क्या तुमने कल अपना पाठ याद किया,మీరు రేపు మీ కథలు వినడం,मीरु रेपु मी कथलु विनडं,mIru repu mI kaWalu vinadaM,నువ్వు నిన్న నీ పాఠం గుర్తుచేసుకున్నావా,
क्या तुमने यहाँ ठंडा पेय लिया था,మీరు ఇక్కడ చల్లని పానీయాలు కలిగి,मीरु इक्कड चल्लनि पानीयालु कलिगि,mIru ikkada callani pAnIyAlu kaligi,నువ్వు ఇక్కడ శీతల పానీయం తీసుకున్నావా,
क्या तुम पिछले दो घंटे से पढ़ रहे थे,మీరు గత రెండు గంటల చదివి తెలుసా,मीरु गत रॆंडु गंटल चदिवि तॆलुसा,mIru gawa reVMdu gaMtala caxivi weVlusA,నువ్వు గత రెండు గంటల నుంచి చదువుతున్నావా,
क्या तुम रात को यहा ठहरोगे,ఏం మీరు రాత్రి ఇక్కడ ఉంటుంది,एं मीरु रात्रि इक्कड उंटुंदि,eM mIru rAwri ikkada uMtuMxi,నువ్వు రాత్రికి ఇక్కడ ఉండిపోతావా,
क्या तुम शादी के बाद काम करना चाहती हो,మీరు వివాహం తర్వాత పని అనుకుంటున్నారా,मीरु विवाहं तर्वात पनि अनुकुंटुन्नारा,mIru vivAhaM warvAwa pani anukuMtunnArA,నువ్వు పెళ్ళి అయ్యాక ఉద్యోగం చేయాలనుకుంటున్నావా,
क्या तुम सिनेमा गए थे,మీరు సినిమాలు చేశాడు,मीरु सिनिमालु चेशाडु,mIru sinimAlu ceSAdu,నువ్వు సినిమాకి వెళ్లావా,
क्या तुम सितर बजा सकती हो,మీరు Sitr ప్లే చేయవచ్చు,मीरु Sitr प्ले चेयवच्चु,mIru Sitr ple ceyavaccu,నువ్వు సితార్ వాయించగలవా,
क्या तुम सो रहे हो,మీరు నిద్ర,मीरु निद्र,mIru nixra,నువ్వు నిద్రపోతున్నావా,
क्या तुम विद्यालय जा रहे हो,మీరు పాఠశాలకు వెళ్తున్నారు,मीरु पाठशालकु वॆळ्तुन्नारु,mIru pATaSAlaku veVlYwunnAru,నువ్వు పాఠశాలకు వెళ్తున్నావా, 
क्या तुम्हारे पिताजी सरकारी नौकरी करते हैं,మీ తండ్రి ప్రభుత్వ ఉద్యోగాలు దీన్ని ఏ,मी तंड्रि प्रभुत्व उद्योगालु दीन्नि ए,mI waMdri praBuwva uxyogAlu xInni e,మీ నాన్నగారు ప్రభుత్వ ఉద్యోగం చేస్తారా,
क्या तुम्हारी माँ तुमसे प्रेम करती है,మీ తల్లి ప్రేమ లేదు మీరు,मी तल्लि प्रेम लेदु मीरु,mI walli prema lexu mIru,మీ అమ్మ నిన్ను ప్రేమిస్తుందా,
क्या तुम्हें चावल पसंद है,మీరు బియ్యం ఇష్టపడతారు,मीरु बिय्यं इष्टपडतारु,mIru biyyaM iRtapadawAru,నీకు అన్నం ఇష్టమా,
लडZकी गुडिया बना रही है,Z వరకు బొమ్మ తయారీ ఫైట్,Z वरकु बॊम्म तयारी फॆॖट्,Z varaku boVmma wayArI PeVt,అమ్మాయి బొమ్మ తయారు చేస్తుంది
लड़का स्कूल से अनुपस्थित था,బాలుడు పాఠశాలకు హాజరు కాలేదనే విషయం,बालुडु पाठशालकु हाजरु कालेदने विषयं,bAludu pATaSAlaku hAjaru kAlexane viRayaM,అబ్బాయి స్కూల్ కి గైర్హాజరు అయ్యాడు,
मकान कब देखना चाहते हैं,ఇళ్ళు ఎలా చూడాలనుకుంటే,इळ्ळु ऎला चूडालनुकुंटे,ilYlYu eVlA cUdAlanukuMte,ఇల్లు ఎప్పుడు చూడాలని అనుకుంటున్నారు,
माली फूल चुन रहा है,తోటలలో పుష్పాలు ఎంచుకోండి,तोटललो पुष्पालु ऎंचुकोंडि,wotalalo puRpAlu eVMcukoMdi,తోటమాలి పువ్వులు ఏరుతున్నాడు,
मार्किट् में कौन जाएगा,ఎవరు Markit ఉంటుంది,ऎवरु Markit उंटुंदि,eVvaru Markit uMtuMxi,బజారుకి ఎవరు వెళ్తారు,
माँ चावल पका रही है,తల్లి అన్నం వండుతారు,तल्लि अन्नं वंडुतारु,walli annaM vaMduwAru,అమ్మ అన్నం వండుతుంది,
मैं आज क्रिकेट मैच देखना चाहता हूँ,నేను ఈ రోజు ఒక క్రికెట్ మ్యాచ్ చూడాలనుకునే,नेनु ई रोजु ऒक क्रिकॆट् म्याच् चूडालनुकुने,nenu I roju oVka krikeVt myAc cUdAlanukune,నేను ఈ రోజు క్రికెట్ మ్యాచ్ చూడాలనుకుంటున్నాను,
मैं जाऊंगा,నేను రెడీ,नेनु रॆडी,nenu reVdI,నేను వెళ్తాను,
मैं कानपुर में रहता हूँ,నేను కాన్పూర్ లో నివసిస్తున్నారు,नेनु कान्पूर् लो निवसिस्तुन्नारु,nenu kAnpUr lo nivasiswunnAru,నేను కాన్పూర్ లో ఉంటాను,
मैं नहीं जा सकता,నేను ఉండకూడదు,नेनु उंडकूडदु,nenu uMdakUdaxu,నేను వెళ్లలేను,
मैंने रंगीन टेलीविज़न खरीदा है,నేను ఒక కలర్ టెలివిజన్ కొనుగోలు,नेनु ऒक कलर् टॆलिविजन् कॊनुगोलु,nenu oVka kalar teVlivijan koVnugolu,నేను కలర్ టెలివిజన్ తీసుకున్నాను,
मैंने दो शेर देखा,నేను రెండు సింహాలు చూసింది,नेनु रॆंडु सिंहालु चूसिंदि,nenu reVMdu siMhAlu cUsiMxi,నేను రెండు సింహాలు చూశాను,
मैंने यह मेज आज बनाई है,నేను పట్టిక నేటి రూపొందించినవారు ఉంటుంది,नेनु पट्टिक नेटि रूपॊंदिंचिनवारु उंटुंदि,nenu pattika neti rUpoVMxiMcinavAru uMtuMxi,నేను ఈ బల్లని ఈ రోజు చేశాను,
मैं परचेज़ मैनेजर से मिलना चाहता हूँ,నేను కొనుగోలు మేనేజర్ కలుసుకోవాలనుకోవడం,नेनु कॊनुगोलु मेनेजर् कलुसुकोवालनुकोवडं,nenu koVnugolu menejar kalusukovAlanukovadaM,నేను పర్చేజ్ మేనేజర్ ని కలవాలి,
मैं राम के साथ बाज़ार जाऊँगा,నేను RAM తో బజార్ చేస్తాము,नेनु RAM तो बजार् चेस्तामु,nenu RAM wo bajAr ceswAmu,నేను రాము వెంట బజారుకి వెళ్తాను,
मैं सेना में शामिल होना चाहता हूँ,నేను సైన్యంలో చేరాలని అనుకుంటే,नेनु सॆॖन्यंलो चेरालनि अनुकुंटे,nenu seVnyaMlo cerAlani anukuMte,నేను సేనాలో చేరాలనుకుంటున్నాను,
मैं उससे एक किताब ले रहा हूँ,నేను నుండి ఒక పుస్తకం తీసుకొని చేస్తున్నాను,नेनु नुंडि ऒक पुस्तकं तीसुकॊनि चेस्तुन्नानु,nenu nuMdi oVka puswakaM wIsukoVni ceswunnAnu,నేను ఆతని దగ్గర నుంచి ఒక పుస్తకం తీసుకుంటున్నాను,
मैं उससे दो साल पहले शिमला में मिला था,నేను రెండు సంవత్సరాల క్రితం అతనికి సిమ్లా లో,नेनु रॆंडु संवत्सराल क्रितं अतनिकि सिम्ला लो,nenu reVMdu saMvawsarAla kriwaM awaniki simlA lo,నేను అతనిని రెండు సంవత్సరాల ముందు శిమ్లాలో కలిశాను,
मैं उसे मारना चाहता हूँ,నేను అతనిని చంపడానికి కావలసిన,नेनु अतनिनि चंपडानिकि कावलसिन,nenu awanini caMpadAniki kAvalasina,నేను అతనిని చంపాలనుకుంటున్నాను,
मैं तुम्हारे साथ वाराणसी जाऊँगा,నేను మీతో వారణాసి చేస్తాము,नेनु मीतो वारणासि चेस्तामु,nenu mIwo vAraNAsi ceswAmu,నేను నీ వెంట వారణాసీ వస్తాను,
मैं तुम्हारे वियोग को सहन नहीं कर सकता,నేను మీ మరణం భరించలేను,नेनु मी मरणं भरिंचलेनु,nenu mI maraNaM BariMcalenu,నేను నీ వియోగాన్ని భరించ లేను,
मेरा भाई कानपुर में रहता है,నా సోదరుడు కాన్పూర్ లో నివసిస్తున్నారు,ना सोदरुडु कान्पूर् लो निवसिस्तुन्नारु,nA soxarudu kAnpUr lo nivasiswunnAru,మా అన్నయ్య కాన్పూర్ లో ఉంటాడు,
मेरे चाचा आसाम से आये,నా మామ అస్సాం వచ్చింది,ना माम अस्सां वच्चिंदि,nA mAma assAM vacciMxi,మా చిన్నాన్న అస్సాం నుంచి వచ్చారు,
मोहन क्रिकेट खेल रहा है,మోహన్ క్రికెట్ ఆడే,मोहन् क्रिकॆट् आडे,mohan krikeVt Ade,మోహన్ క్రికెట్ ఆడుతున్నాడు,
मुझे आगरा में कहाँ ठहरना चाहिए,నేను ఎక్కడ ఆగ్రా ఉండడానికి ఉండాలి,नेनु ऎक्कड आग्रा उंडडानिकि उंडालि,nenu eVkkada AgrA uMdadAniki uMdAli,నేను ఆగ్రాలో ఎక్కడ ఉండాలి,
मुझे आपका जवाब अच्छा लगा,నేను నైస్ సమాధానం,नेनु नॆॖस् समाधानं,nenu neVs samAXAnaM,నాకు మీ సమాధానం బాగా అనిపించింది,
मुझे अपनी पुस्तक दिखाओ,నాకు మీ పుస్తకం చూపించు,नाकु मी पुस्तकं चूपिंचु,nAku mI puswakaM cUpiMcu,నాకు నీ పుస్తకం చూపించు,
मुझे उसे कहाँ ढूंढ़ना चाहिये,నేను అతనికి పేరు వెతకాలి,नेनु अतनिकि पेरु वॆतकालि,nenu awaniki peru veVwakAli,నేను అతనిని ఎక్కడ వెతకాలి,
फल खाइए,ఫ్రూట్ ఈట్,फ्रूट् ईट्,PrUt It,పళ్లు తినండి,
फल खा,పండ్లు,पंड्लु,paMdlu,పళ్లు తిను,
फिर आइये,మళ్ళీ వచ్చి,मळ्ळी वच्चि,malYlYI vacci,మళ్లీ రండి,
फिर आइयेगा,అప్పుడు తిరిగి వచ్చి,अप्पुडु तिरिगि वच्चि,appudu wirigi vacci,మళ్లీ రండి, 
प्रधानाद्ध्यापक ने सोहन को छात्रव्रित्ति दी,Prdhanaddyapak Chhatrwritti సోపన్ ఇచ్చింది,Prdhanaddyapak Chhatrwritti सोपन् इच्चिंदि,Prdhanaddyapak Chhatrwritti sopan icciMxi,ప్రధానోపాధ్యాయుడు సోహన్ కి ఉపకార వేతనం ఇచ్చారు,
राज मैदान में खेलता है,రాజ్ రంగంలో పోషిస్తుంది,राज् रंगंलो पोषिस्तुंदि,rAj raMgaMlo poRiswuMxi,రాజ్ గ్రౌండులో ఆడుతాడు,
राजीव की दादी कमरे में बैठी हैं,రాజీవ్ నాయనమ్మ గదిలో కూర్చుని,राजीव् नायनम्म गदिलो कूर्चुनि,rAjIv nAyanamma gaxilo kUrcuni,రాజీవ్ వాళ్ల నాన్నమ్మ గదిలో కూర్చుంది,
राम कब बाज़ार जा रहा है,RAM ఉన్నప్పుడు ఉండటం మార్కెట్,RAM उन्नप्पुडु उंडटं मार्कॆट्,RAM unnappudu uMdataM mArkeVt,రాము ఎప్పుడు బజారుకి వెళ్తున్నాడు,
राम का बेटा विद्यालय में पढता है,రామ్ కుమారుడు పాఠశాలలో చదవండి,राम् कुमारुडु पाठशाललो चदवंडि,rAm kumArudu pATaSAlalo caxavaMdi,రాము వాళ్ల కొడుకు పాఠశాలలో చదువుతాడు,
राम के द्वारा रावण मारा गया था,రావణ రామ ద్వారా చంపబడ్డాడు,रावण राम द्वारा चंपबड्डाडु,rAvaNa rAma xvArA caMpabaddAdu,రాముడి ద్వారా రావణుడు చంపబడ్డాడు,
राम को बुलाओ,రామ్ కాల్,राम् काल्,rAm kAl,రాముని పిలువు,
राम क्या खा रहा है,RAM మీరు తినడానికి ఏమి ఉంది,RAM मीरु तिनडानिकि एमि उंदि,RAM mIru winadAniki emi uMxi,రాము ఏమి తింటున్నాడు,
राम ने रावण के साथ युद्ध किया,రామ రావణ తో పోరాడారు,राम रावण तो पोराडारु,rAma rAvaNa wo porAdAru,రాముడు రావణుడితో యుద్ధం చేశాడు,
राम और श्याम के बीच में गीटा बैथी है,తెలుపు మధ్య రామ్ మరియు గీతా లోతైన,तॆलुपु मध्य राम् मरियु गीता लोतॆॖन,weVlupu maXya rAm mariyu gIwA loweVna,రాము మరియు శ్యామ్ మధ్య గీతా కూర్చుంది,
राम धीरे चलता है,రామ్ నెమ్మదిగా కదులుతుంది,राम् नॆम्मदिगा कदुलुतुंदि,rAm neVmmaxigA kaxuluwuMxi,రాము నెమ్మదిగా నడుస్తాడు,
रसोई घर में कौन है,ఎవరు వంటగదిలో వార్తలు,ऎवरु वंटगदिलो वार्तलु,eVvaru vaMtagaxilo vArwalu,వంట గదిలో ఎవరు ఉన్నారు,
रावन मारा गया,రావణ చంపబడ్డాడు,रावण चंपबड्डाडु,rAvaNa caMpabaddAdu,రావణుడు చంపబడ్డాడు,
शायद शोहन ने उसकी मदद किया होगा,బహుశా ప్రొఫెసర్ Sohn ఆమె సహాయపడటం,बहुशा प्रॊफॆसर् Sohn आमॆ सहायपडटं,bahuSA proVPeVsar Sohn AmeV sahAyapadataM,బహుశా సోహన్ తనకు సహాయం చేసి ఉండవచ్చు,
शायद वह यहां आया होगा,బహుశా అతను ఇక్కడ వస్తాయి,बहुशा अतनु इक्कड वस्तायि,bahuSA awanu ikkada vaswAyi,బహుశా అతను ఇక్కడికి వచ్చి ఉండవచ్చు,
सीता ने राम के साथ विवाह किया,సీతా రామ తో వివాహం,सीता राम तो विवाहं,sIwA rAma wo vivAhaM,సీతా రాముడిని వివాహం చేసుకుంది,
सोमवार के बाद मंगलवार आता हे,మంగళవారం సోమవారం యొక్క O తర్వాత వస్తుంది,मंगळवारं सोमवारं यॊक्क O तर्वात वस्तुंदि,maMgalYavAraM somavAraM yoVkka O warvAwa vaswuMxi,సోమవారం తర్వాత మంగళవారం వస్తుంది,
सो रहे हो क्या,కాబట్టి మీరు,काबट्टि मीरु,kAbatti mIru,నిద్రపోతున్నావా,
सूर्य पूरब में निकलता है,సూర్యుడు తూర్పున మారుతుంది,सूर्युडु तूर्पुन मारुतुंदि,sUryudu wUrpuna mAruwuMxi,సూర్యుడు తూర్పున ఉదయిస్తాడు,
सुधीर झूंठ बोल रहा था,సుధీర్ Junt మాట్లాడుతూ,सुधीर् Junt माट्लाडुतू,suXIr Junt mAtlAduwU,?
उसकी माँ खाना बना रही है,అతని తల్లి వంట,अतनि तल्लि वंट,awani walli vaMta,అతని తల్లి అన్నం వండుతుంది,
उसने अनाथालय से एक बच्चा गोड लिया,అతను అనాథ నుండి దేవుని ఒక చిన్న బిడ్డను తీసికొని,अतनु अनाथ नुंडि देवुनि ऒक चिन्न बिड्डनु तीसिकॊनि,awanu anAWa nuMdi xevuni oVka cinna biddanu wIsikoVni,?
उसने चुनाव में किस्मत आजमाया,అతను ఎన్నికల్లో ఆయన అదృష్టం ప్రయత్నించారు,अतनु ऎन्निकल्लो आयन अदृष्टं प्रयत्निंचारु,awanu eVnnikallo Ayana axqRtaM prayawniMcAru,అతను ఎన్నికలలో అదృష్టాన్ని పరీక్షంచుకున్నాడు,
उसने किरन को एक कहानी सुनाई,అతను కిరణ్ ఒక కథ చెప్పారు,अतनु किरण् ऒक कथ चॆप्पारु,awanu kiraN oVka kaWa ceVppAru,అతను కిరణ్ కి ఒక కథ చెప్పాడు,
उसे एक रोएंदार सिलेटी बिल्ली दिखाई दी,ఒక మెత్తటి బూడిద పిల్లి చూసిన నివేదించారు,ऒक मॆत्तटि बूडिद पिल्लि चूसिन निवेदिंचारु,oVka meVwwati bUdixa pilli cUsina nivexiMcAru,అతనికి జూలుగల ఒక బూడిద రంగు పిల్లి కనిపించింది,
वह अंधे आदमी की सहायता करेगा,అతను బ్లైండ్ మనిషి సహాయం ఉంటుంది,अतनु ब्लॆॖंड् मनिषि सहायं उंटुंदि,awanu bleVMd maniRi sahAyaM uMtuMxi,అతను గుడ్డి వ్యక్తికి సహాయం చేస్తాడు,
